"Step","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/saw/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/sin/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/square/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/triangle/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/saw/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/sin/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/square/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/triangle/train"
"0","undefined","undefined","undefined","undefined","1.4188765287399292","1.4188765287399292","1.4188765287399292","1.4188765287399292"
"10","undefined","undefined","undefined","undefined","1.3826462626457214","1.4556940913200378","1.3938251376152038","1.4235588550567626"
"20","undefined","undefined","undefined","undefined","1.3471715331077576","1.3958370566368103","1.348807942867279","1.4091216564178466"
"30","undefined","undefined","undefined","undefined","1.2998960852622985","1.3479585766792297","1.3049391865730287","1.3345470428466797"
"40","undefined","undefined","undefined","undefined","1.2514414668083191","1.2778583407402038","1.2628442645072937","1.2703497767448426"
"50","undefined","undefined","undefined","undefined","1.1834244847297668","1.2118446111679078","1.193682599067688","1.214295220375061"
"60","undefined","undefined","undefined","undefined","1.12240469455719","1.133601975440979","1.1418607234954834","1.1438406229019165"
"70","undefined","undefined","undefined","undefined","1.0773263812065124","1.0836034536361694","1.0943304777145386","1.0861523151397705"
"80","undefined","undefined","undefined","undefined","1.0249851822853089","1.0322953104972838","1.0377435445785523","1.0341981530189515"
"90","undefined","undefined","undefined","undefined","0.9915798783302308","0.9783865869045257","0.9963208556175231","0.9728044450283051"
"100","undefined","undefined","undefined","undefined","0.9602409780025483","0.9618338286876679","0.9676170825958252","0.9680748820304871"
"110","undefined","undefined","undefined","undefined","0.9631926774978637","0.9474178075790405","0.930482828617096","0.9348852813243866"
"120","undefined","undefined","undefined","undefined","0.9213263332843781","0.9289065361022949","0.9282218933105468","0.9039249002933503"
"130","undefined","undefined","undefined","undefined","0.8919251561164856","0.8897068202495575","0.8937620997428894","0.8946729063987732"
"140","undefined","undefined","undefined","undefined","0.8374640882015228","0.846806800365448","0.8157704949378968","0.8051092505455018"
"150","undefined","undefined","undefined","undefined","0.769728034734726","0.774808144569397","0.7571444690227509","0.7510600447654724"
"160","undefined","undefined","undefined","undefined","0.6568515002727509","0.6009886473417282","0.6849875032901764","0.6018458396196366"
"170","undefined","undefined","undefined","undefined","0.5365220934152604","0.3103940382599831","0.5361116290092468","0.3497388884425163"
"180","undefined","undefined","undefined","undefined","0.3329716831445694","0.25588946864008905","0.41897269785404206","0.06485454682260752"
"190","undefined","undefined","undefined","undefined","0.12738471962511538","-0.006423172680661083","0.4130802109837532","-0.13905151411890984"
"200","undefined","undefined","undefined","undefined","0.010243761958554387","-0.0711891420185566","0.31426237896084785","-0.1954929656814784"
"210","undefined","undefined","undefined","undefined","-0.11235440652817488","-0.2239501640200615","0.15246053524315356","-0.12251705769449472"
"220","undefined","undefined","undefined","undefined","-0.26663458421826364","-0.3789053902029991","0.10987108461558819","-0.3906951524317265"
"230","undefined","undefined","undefined","undefined","-0.42365785539150236","-0.31626523844897747","0.06122820228338242","-0.34175432901829483"
"240","undefined","undefined","undefined","undefined","-0.4454623579978943","-0.48665331304073334","-0.10655388347804547","-0.5170297995209694"
"250","undefined","undefined","undefined","undefined","-0.5598412036895752","-0.5638522654771805","-0.2588691581040621","-0.6102191977202892"
"260","undefined","undefined","undefined","undefined","-0.7414449095726013","-0.6550583213567733","-0.4312488570809364","-0.6180641263723373"
"270","undefined","undefined","undefined","undefined","-0.7429064452648163","-0.7783832669258117","-0.3568196095526218","-0.6328054577112198"
"280","undefined","undefined","undefined","undefined","-0.8836712777614594","-0.9049713790416718","-0.4891666643321514","-0.6514167569577693"
"290","undefined","undefined","undefined","undefined","-0.8749109864234924","-0.9162050604820251","-0.4155617576092482","-0.6758131208829582"
"300","undefined","undefined","undefined","undefined","-1.005384624004364","-1.0162487924098969","-0.42361431010067463","-0.671413853764534"
"310","undefined","undefined","undefined","undefined","-1.0263408243656158","-1.0042007982730865","-0.5511006770655513","-0.6178586095571518"
"320","undefined","undefined","undefined","undefined","-1.141103410720825","-1.1063347280025482","-0.48032590076327325","-0.7653410136699677"
"330","undefined","undefined","undefined","undefined","-1.230730265378952","-1.0668624460697174","-0.4391117423772812","-0.8629411190748215"
"340","undefined","undefined","undefined","undefined","-1.1278816998004912","-1.0144742012023926","-0.6028469920158386","-0.9512682557106018"
"350","undefined","undefined","undefined","undefined","-1.302105724811554","-1.204923552274704","-0.5815867230296135","-0.7931151926517487"
"360","undefined","undefined","undefined","undefined","-1.3034753918647766","-1.0835700571537017","-0.7304921761155129","-0.6671948611736298"
"370","undefined","undefined","undefined","undefined","-1.3188441395759583","-1.1367836952209474","-0.8662815719842911","-0.7358026742935181"
"380","undefined","undefined","undefined","undefined","-1.3229236960411073","-1.2512036502361297","-0.6268593952059746","-0.7562731444835663"
"390","undefined","undefined","undefined","undefined","-1.4498770356178283","-1.1678447782993318","-0.7279288679361343","-0.8532974243164062"
"400","undefined","undefined","undefined","undefined","-1.4102879881858825","-1.1387592732906342","-0.6447921127080918","-0.8217658519744873"
"410","undefined","undefined","undefined","undefined","-1.5400715112686156","-1.1521344840526582","-0.8189861416816712","-0.9738292634487152"
"420","undefined","undefined","undefined","undefined","-1.3731687784194946","-1.3586158156394958","-0.7702276319265365","-0.9132695734500885"
"430","undefined","undefined","undefined","undefined","-1.5508958578109742","-1.2954334974288941","-0.8635559678077698","-1.0140938252210616"
"440","undefined","undefined","undefined","undefined","-1.5277251839637755","-1.2630070626735688","-0.8501184999942779","-1.1117798388004303"
"450","undefined","undefined","undefined","undefined","-1.528285026550293","-1.180682545900345","-0.9155789613723755","-0.9269551068544388"
"460","undefined","undefined","undefined","undefined","-1.541509997844696","-1.1706449210643768","-0.7960089176893235","-0.9663340508937835"
"470","undefined","undefined","undefined","undefined","-1.5594340205192565","-1.1415626466274262","-0.8367243081331253","-1.0708907008171082"
"480","undefined","undefined","undefined","undefined","-1.576597476005554","-1.321503722667694","-0.9933166563510895","-1.1911678969860078"
"490","undefined","undefined","undefined","undefined","-1.5848228216171265","-1.361789309978485","-1.0058339059352874","-0.9724027812480927"
"500","undefined","undefined","undefined","undefined","-1.6930136322975158","-1.384137260913849","-0.907817804813385","-0.9694073259830475"
"510","undefined","undefined","undefined","undefined","-1.6933401107788086","-1.4888320922851563","-0.7836169257760048","-1.1501814782619477"
"520","undefined","undefined","undefined","undefined","-1.6562159180641174","-1.4606784582138062","-0.4337866796180606","-1.0574124157428741"
"530","undefined","undefined","undefined","undefined","-1.7526126384735108","-1.3349553942680359","-0.6942555159330368","-1.2166861653327943"
"540","undefined","undefined","undefined","undefined","-1.670317280292511","-1.3880569100379945","-0.9065261125564575","-1.170264583826065"
"550","undefined","undefined","undefined","undefined","-1.508095109462738","-1.3557707905769347","-1.0088167548179627","-1.1356974244117737"
"560","undefined","undefined","undefined","undefined","-1.57175315618515","-1.313340848684311","-0.8577807366847991","-1.099669975042343"
"570","undefined","undefined","undefined","undefined","-1.4818114280700683","-1.4948642373085022","-1.027631676197052","-1.1119448006153108"
"580","undefined","undefined","undefined","undefined","-1.572950792312622","-1.4363184332847596","-0.9916537642478943","-0.8790121018886566"
"590","undefined","undefined","undefined","undefined","-1.5710991501808167","-1.4809351921081544","-0.9667686402797699","-1.1243046641349792"
"600","undefined","undefined","undefined","undefined","-1.5859838485717774","-1.449903917312622","-1.1663458347320557","-1.1860562443733216"
"610","undefined","undefined","undefined","undefined","-1.5061567544937133","-1.4480750799179076","-0.9681991755962371","-1.0897068858146668"
"620","undefined","undefined","undefined","undefined","-1.645546293258667","-1.5418026924133301","-0.9157111465930938","-1.1906561136245728"
"630","undefined","undefined","undefined","undefined","-1.6650588274002076","-1.5398105025291442","-0.8584222495555878","-1.2504584431648254"
"640","undefined","undefined","undefined","undefined","-1.6986812591552733","-1.6164703249931336","-0.9376514852046967","-1.1955938816070557"
"650","undefined","undefined","undefined","undefined","-1.6677509427070618","-1.517643392086029","-1.056505799293518","-1.2651385545730591"
"660","undefined","undefined","undefined","undefined","-1.742513406276703","-1.5294210195541382","-0.9493045061826706","-1.3330809652805329"
"670","undefined","undefined","undefined","undefined","-1.6425421237945557","-1.453033721446991","-1.095759427547455","-1.3218317031860352"
"680","undefined","undefined","undefined","undefined","-1.8021574139595031","-1.4284779906272889","-1.0809067726135253","-1.295846825838089"
"690","undefined","undefined","undefined","undefined","-1.7023871421813965","-1.5381079077720643","-0.9949672609567642","-1.3119295239448547"
"700","undefined","undefined","undefined","undefined","-1.762809979915619","-1.632780623435974","-1.2631588578224182","-1.319015336036682"
"710","undefined","undefined","undefined","undefined","-1.7442625522613526","-1.6220766305923462","-0.9756623983383179","-1.4112260580062865"
"720","undefined","undefined","undefined","undefined","-1.7505956768989563","-1.5110583186149598","-1.1353517085313798","-1.3142635464668273"
"730","undefined","undefined","undefined","undefined","-1.8016428470611572","-1.5560594558715821","-0.9890548825263977","-1.315463161468506"
"740","undefined","undefined","undefined","undefined","-1.7176284551620484","-1.645874798297882","-0.8737515687942505","-1.3477595567703247"
"750","undefined","undefined","undefined","undefined","-1.7772971391677856","-1.6472304701805114","-0.6615299589931964","-1.2737336993217467"
"760","undefined","undefined","undefined","undefined","-1.817328679561615","-1.6521530151367188","-0.869106474518776","-1.3763004422187806"
"770","undefined","undefined","undefined","undefined","-1.8021299958229064","-1.6404995799064637","-0.775878655910492","-1.2484691798686982"
"780","undefined","undefined","undefined","undefined","-1.7900917649269104","-1.5874608039855957","-0.8747774720191955","-1.3535646677017212"
"790","undefined","undefined","undefined","undefined","-1.766932189464569","-1.5824329376220703","-0.9946918427944184","-1.4576509475708008"
"800","undefined","undefined","undefined","undefined","-1.8579050183296204","-1.6573601365089417","-1.002161431312561","-1.2861144304275514"
"810","undefined","undefined","undefined","undefined","-1.7743178606033325","-1.6523267030715942","-0.9484015822410583","-1.4074206471443176"
"820","undefined","undefined","undefined","undefined","-1.8090971112251282","-1.744849157333374","-1.1347652554512024","-1.3154062509536744"
"830","undefined","undefined","undefined","undefined","-1.86000714302063","-1.7181026220321656","-1.1004361629486084","-1.4696531772613526"
"840","undefined","undefined","undefined","undefined","-1.7485595226287842","-1.736630344390869","-1.2960196793079377","-1.2725407123565673"
"850","undefined","undefined","undefined","undefined","-1.859416699409485","-1.6832043170928954","-0.9860597133636475","-1.3504181861877442"
"860","undefined","undefined","undefined","undefined","-1.8430967450141906","-1.3588123619556427","-1.08473282456398","-1.4428171396255494"
"870","undefined","undefined","undefined","undefined","-1.7983343362808228","-1.5341820001602173","-1.065275990962982","-1.2368198752403259"
"880","undefined","undefined","undefined","undefined","-1.8501906275749207","-1.6623993635177612","-1.2448923587799072","-1.2508764624595643"
"890","undefined","undefined","undefined","undefined","-1.832493257522583","-1.80548837184906","-1.0991065800189972","-1.3962307095527648"
"900","undefined","undefined","undefined","undefined","-1.8379417657852173","-1.7458573937416078","-1.1578660488128663","-1.3963480234146117"
"910","undefined","undefined","undefined","undefined","-1.8910107612609863","-1.6706125378608703","-1.2894898891448974","-1.4107465386390685"
"920","undefined","undefined","undefined","undefined","-1.881187105178833","-1.770242154598236","-1.1140828669071197","-1.393846821784973"
"930","undefined","undefined","undefined","undefined","-1.8682411551475524","-1.681494665145874","-1.332954740524292","-1.2934099674224853"
"940","undefined","undefined","undefined","undefined","-1.8094072222709656","-1.6909714937210083","-0.47428132593631744","-1.2958101034164429"
"950","undefined","undefined","undefined","undefined","-1.8920994877815247","-1.830669915676117","-0.6948578923940658","-1.4351627588272096"
"960","undefined","undefined","undefined","undefined","-1.816558301448822","-1.5948107441266377","-1.0146000385284424","-1.35096408923467"
"970","undefined","undefined","undefined","undefined","-1.920570158958435","-1.623018169403076","-1.0584413230419158","-1.3011549592018128"
"980","undefined","undefined","undefined","undefined","-1.8478362679481506","-1.6857944011688233","-1.051474356651306","-1.3143383800983428"
"990","undefined","undefined","undefined","undefined","-1.8768540501594544","-1.7754629254341125","-0.9565241873264313","-1.3063817858695983"
"1000","undefined","undefined","undefined","undefined","-1.8343600749969482","-1.7993503212928772","-1.0571346014738083","-1.3064623594284057"
"1010","undefined","undefined","undefined","undefined","-1.9248167395591735","-1.7864517569541931","-1.1575761318206788","-1.4287410855293274"
"1020","undefined","undefined","undefined","undefined","-1.9221136450767518","-1.7716532111167909","-1.155338978767395","-1.4671000838279724"
"1030","undefined","undefined","undefined","undefined","-1.8669684290885926","-1.7969562411308289","-1.2645097374916077","-1.4312601447105409"
"1040","undefined","undefined","undefined","undefined","-1.8902758955955505","-1.8174242615699767","-1.1837369859218598","-1.4704229831695557"
"1050","undefined","undefined","undefined","undefined","-1.9306739926338197","-1.811684238910675","-1.1730130732059478","-1.5522241115570068"
"1060","undefined","undefined","undefined","undefined","-1.942686676979065","-1.6668445706367492","-1.14793119430542","-1.4561867713928223"
"1070","undefined","undefined","undefined","undefined","-1.7904874086380005","-1.8503983616828918","-1.2714105248451233","-1.5930010437965394"
"1080","undefined","undefined","undefined","undefined","-1.9510977149009705","-1.8307373762130736","-1.312051886320114","-1.601341223716736"
"1090","undefined","undefined","undefined","undefined","-1.9744019508361816","-1.829849934577942","-1.351730501651764","-1.4985103368759156"
"1100","undefined","undefined","undefined","undefined","-1.876859998703003","-1.6756855607032777","-1.308589220046997","-1.5016438603401183"
"1110","undefined","undefined","undefined","undefined","-1.9313580751419068","-1.7223747849464417","-1.2156771838665008","-1.624334180355072"
"1120","undefined","undefined","undefined","undefined","-1.9278340578079223","-1.7987098336219787","-1.292463231086731","-1.5255844116210937"
"1130","undefined","undefined","undefined","undefined","-1.902190363407135","-1.8227972865104676","-1.2345582485198974","-1.5675886392593383"
"1140","undefined","undefined","undefined","undefined","-1.9107323288917542","-1.8654152035713196","-0.7005941171199084","-1.5136530995368958"
"1150","undefined","undefined","undefined","undefined","-1.9697534561157226","-1.8877038836479187","-1.1663234770298003","-1.46269748210907"
"1160","undefined","undefined","undefined","undefined","-1.912824535369873","-1.6671069324016572","-1.1379030466079711","-1.6726256966590882"
"1170","undefined","undefined","undefined","undefined","-1.9085280895233154","-1.8352231144905091","-1.2001106441020966","-1.507343351840973"
"1180","undefined","undefined","undefined","undefined","-1.9385202288627625","-1.7921118140220642","-1.3024292886257172","-1.5698352098464965"
"1190","undefined","undefined","undefined","undefined","-1.9354921579360962","-1.8243124127388","-1.2879014551639556","-1.5497113704681396"
"1200","undefined","undefined","undefined","undefined","-1.9550224661827087","-1.7565111756324767","-1.2822304487228393","-1.5117881536483764"
"1210","undefined","undefined","undefined","undefined","-1.9737886428833007","-1.8673461556434632","-1.337655371427536","-1.5977384567260742"
"1220","undefined","undefined","undefined","undefined","-1.8796388983726502","-1.8116544842720033","-1.2249169111251832","-1.503175950050354"
"1230","undefined","undefined","undefined","undefined","-1.9784300565719604","-1.8710779547691345","-1.0570256471633912","-1.5620956778526307"
"1240","undefined","undefined","undefined","undefined","-1.9545205593109132","-1.79058780670166","-1.0878845512866975","-1.569943404197693"
"1250","undefined","undefined","undefined","undefined","-2.017793595790863","-1.8383022785186767","-1.2871936023235322","-1.5444766521453857"
"1260","undefined","undefined","undefined","undefined","-1.894118070602417","-1.8807848572731019","-1.235162216424942","-1.469376313686371"
"1270","undefined","undefined","undefined","undefined","-1.958595633506775","-1.82336767911911","-1.1599339365959167","-1.511500644683838"
"1280","undefined","undefined","undefined","undefined","-1.962654209136963","-1.8097747564315796","-1.3150086641311645","-1.5687915682792664"
"1290","undefined","undefined","undefined","undefined","-1.9681368350982666","-1.8038918495178222","-1.3025918126106262","-1.646574568748474"
"1300","undefined","undefined","undefined","undefined","-1.9716157555580138","-1.8035032987594604","-1.3368641436100006","-1.6865604162216186"
"1310","undefined","undefined","undefined","undefined","-1.960014533996582","-1.869956386089325","-1.5347294211387634","-1.5379009127616883"
"1320","undefined","undefined","undefined","undefined","-1.9380178809165955","-1.9155702352523805","-1.2774948120117187","-1.613267958164215"
